director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,cast_total_facebook_likes,language,country,content_rating,budget,actor_2_facebook_likes,movie_facebook_likes
473,429,833,190871240,1,2690,1,1,PG-13,125000000,809,62000
255,850,14000,163192114,1,18003,1,1,PG-13,125000000,1000,15000
255,850,14000,163192114,1,18003,1,1,PG-13,125000000,1000,15000
209,602,10000,113165635,1,12175,1,1,PG-13,125000000,826,31000
0,645,11000,317557891,0,13191,1,0,PG,125000000,687,16000
0,154,21000,186830669,1,22403,1,1,PG-13,125000000,979,39000
0,8000,12000,101160529,1,32355,1,1,PG-13,125000000,9000,71000
2000,636,1000,260031035,0,4146,1,1,PG,123000000,722,0
1000,741,11000,98780042,1,13391,1,1,PG-13,120000000,1000,14000
521,265,13000,108521835,1,13752,1,0,PG-13,120000000,365,31000
487,769,1000,244052771,0,4905,1,1,G,120000000,843,0
487,1000,18000,162792677,0,24205,1,1,G,120000000,1000,0
446,929,20000,132550960,1,23755,1,1,PG-13,120000000,992,68000
386,12000,21000,292298923,0,59177,1,1,PG-13,120000000,17000,65000
386,12000,21000,292298923,0,59177,1,1,PG-13,120000000,17000,65000
368,1000,2000,100685880,1,4046,1,1,PG-13,120000000,1000,0
364,1000,11000,89021735,1,22004,1,1,PG-13,120000000,10000,71000
295,466,10000,144795350,1,12068,1,1,PG-13,120000000,981,0
274,157,273,30212620,0,993,1,1,PG-13,120000000,216,0
218,322,11000,186336103,1,22722,1,1,PG-13,120000000,11000,0
128,78,596,56114221,1,1261,1,1,PG-13,120000000,360,41000
128,78,596,56114221,1,1261,1,1,PG-13,120000000,360,41000
50,537,886,64736114,0,2682,1,1,PG,120000000,799,459
21,503,12000,84037039,1,15237,1,1,PG,120000000,802,0
0,341,774,124976634,0,2121,1,1,PG,120000000,358,122000
0,87,690,43929341,1,902,1,1,PG,120000000,107,0
446,877,10000,76418654,1,12731,1,1,PG-13,117000000,973,11000
79,268,650,67155742,1,1569,1,1,PG-13,116000000,293,0
662,1000,13000,93050117,1,17689,1,1,R,115000000,2000,61000
610,617,12000,40911830,1,15046,1,1,R,115000000,836,0
165,240,11000,131144183,1,12150,1,1,PG-13,115000000,509,0
19,9000,26000,47952020,1,46719,1,1,PG-13,115000000,11000,16000
0,773,12000,289907418,0,15013,1,1,G,115000000,1000,0
0,1000,20000,474544677,1,37723,1,1,PG,115000000,14000,13000
0,4000,20000,310675583,1,42990,1,1,PG,115000000,16000,0
0,618,2000,146282411,1,4528,1,1,R,115000000,1000,0
0,4000,20000,380262555,1,44042,1,1,PG-13,113000000,16000,10000
11,116,480,42776259,0,1173,1,1,PG,112000000,392,0
17000,827,29000,102608827,0,34582,1,1,PG-13,110000000,3000,0
776,1000,13000,113330342,1,19454,1,1,R,110000000,2000,4000
521,883,13000,227137090,1,17369,1,1,PG-13,110000000,897,0
263,1000,6000,106369117,1,10583,1,1,R,110000000,1000,71000
235,297,13000,134520804,1,13961,1,1,PG-13,110000000,300,0
189,1000,49000,250863268,1,55486,1,1,PG,110000000,3000,3000
189,544,20000,85463309,1,22254,1,1,PG-13,110000000,929,36000
176,282,11000,118311368,1,12406,1,1,PG-13,110000000,702,23000
160,402,12000,115802596,1,14017,1,1,PG-13,110000000,701,0
153,447,1000,24004159,1,3175,1,1,PG,110000000,1000,0
153,447,1000,24004159,1,3175,1,1,PG,110000000,1000,0
151,430,11000,61656849,1,12908,1,1,PG-13,110000000,635,123000
124,1000,14000,129995817,0,22622,1,1,PG-13,110000000,5000,27000
124,943,6000,66002193,1,12452,1,1,PG-13,110000000,5000,12000
67,111,383,142614158,0,692,1,1,PG,110000000,113,31000
62,884,12000,155181732,1,16718,1,1,PG-13,110000000,2000,52000
55,387,811,125332007,1,2958,1,0,PG-13,110000000,766,0
6,421,12000,50026353,0,13607,1,1,PG,110000000,513,304
0,346,20000,214948780,1,20952,1,0,PG-13,110000000,505,0
0,350,11000,125531634,0,19359,1,1,PG-13,110000000,8000,0
34,434,760,100446895,0,2762,1,1,PG,109000000,743,946
0,372,13000,228430993,0,14831,1,1,PG-13,108000000,801,153000
102,877,2000,22406362,0,5780,1,1,PG-13,107000000,973,701
102,877,2000,22406362,0,5780,1,1,PG-13,107000000,973,701
0,780,10000,58183966,0,14196,1,1,R,107000000,851,0
1000,77,29000,144812796,0,29770,1,0,PG-13,105000000,509,115000
1000,76,29000,144812796,0,29769,1,0,PG-13,105000000,509,115000
719,423,660,54700065,1,2031,1,1,R,105000000,475,0
123,567,14000,57637485,1,17159,1,1,PG-13,105000000,850,0
67,40,681,71017784,0,914,1,1,PG,105000000,71,0
63,525,852,104374107,0,2480,1,1,G,105000000,578,5000
35,754,13000,90646554,0,25788,1,1,PG,105000000,11000,0
19,848,1000,28772222,1,3962,1,1,PG-13,105000000,897,37000
19,848,1000,28772222,1,3962,1,1,PG-13,105000000,897,37000
107,56,688,131536019,0,1031,1,1,G,103000000,237,0
0,695,3000,187670866,1,6521,1,1,R,103000000,933,21000
14000,533,10000,132014112,1,12546,1,1,PG-13,102000000,798,0
670,1000,15000,27098580,0,22686,1,0,R,102000000,5000,124000
0,539,780,204843350,1,2829,1,1,R,102000000,604,13000
17000,4000,29000,116866727,0,46057,1,1,R,100000000,11000,138000
17000,1000,29000,77679638,0,47657,1,1,R,100000000,14000,0
16000,265,29000,162804648,0,40978,1,1,R,100000000,11000,199000
14000,681,3000,78616689,0,6217,1,1,PG-13,100000000,882,11000
13000,567,1000,180011740,1,2776,1,1,PG-13,100000000,658,0
13000,567,1000,180011740,1,2776,1,1,PG-13,100000000,658,0
13000,16000,40000,79711678,0,80849,1,1,PG-13,100000000,17000,82000
12000,1000,18000,81557479,1,25780,1,1,PG-13,100000000,3000,18000
12000,385,18000,65452312,1,19906,1,1,R,100000000,464,0
2000,571,26000,24985612,1,28328,1,1,PG-13,100000000,911,27000
750,971,49000,197992827,0,70996,1,1,PG,100000000,20000,0
631,327,678,103738726,1,2096,1,1,PG,100000000,631,2000
611,4,755,11041228,1,1244,0,0,PG-13,100000000,483,0
541,680,920,184031112,1,2880,1,1,PG-13,100000000,710,0
521,95,13000,35024475,1,13761,1,0,R,100000000,537,0
420,467,12000,72660029,1,16235,1,1,PG-13,100000000,3000,21000
420,467,12000,72660029,1,16235,1,1,PG-13,100000000,3000,21000
394,1000,24000,67286731,1,36925,1,1,PG-13,100000000,10000,0
380,452,29000,57366262,0,33160,1,0,R,100000000,3000,14000
294,1000,10000,58607007,1,14161,1,1,PG-13,100000000,2000,60000
294,1000,10000,58607007,1,14160,1,1,PG-13,100000000,2000,60000
285,107,12000,119219978,1,20233,1,1,PG-13,100000000,8000,16000
226,341,12000,173005002,1,13679,1,1,PG,100000000,625,0
207,3000,40000,67631157,1,55175,1,1,PG-13,100000000,11000,25000
207,3000,40000,67631157,1,55175,1,1,PG-13,100000000,11000,25000
127,722,962,95328937,0,4555,1,1,R,100000000,740,0
97,56,622,124870275,0,1227,1,1,PG,100000000,526,0
83,8,2000,3058380,0,2389,0,0,R,100000000,370,186
80,708,22000,148383780,0,24082,1,1,PG-13,100000000,713,0
77,120,14000,107515297,0,14552,1,1,PG,100000000,151,17000
55,383,1000,101228120,1,3454,1,1,R,100000000,773,0
52,526,8000,49392095,0,10552,1,1,PG-13,100000000,735,0
31,683,3000,4411102,1,6161,1,1,PG-13,100000000,695,416
26,566,827,40198710,1,3144,1,1,PG-13,100000000,825,0
23,233,957,110332737,0,1997,1,1,PG-13,100000000,550,2000
21,542,2000,100117603,0,4842,1,1,G,100000000,700,0
14,203,3000,75030163,1,4487,1,1,PG,100000000,762,0
10,253,558,89296573,0,2039,1,1,G,100000000,452,0
9,970,12000,58867694,0,25590,1,1,PG,100000000,11000,0
6,561,1000,46440491,0,2707,1,0,PG,100000000,579,0
0,9000,11000,261970615,0,35672,1,0,PG,100000000,10000,0
0,279,925,77222184,0,1738,1,0,PG,100000000,468,11000
0,957,49000,58220776,0,55254,1,1,PG,100000000,1000,0
0,13,39,274084951,0,87,1,0,PG-13,100000000,23,147000
0,568,11000,155370362,0,12890,1,1,PG-13,100000000,627,0
0,123,14000,35168677,0,15149,1,0,PG-13,100000000,602,0
0,968,40000,23014504,0,54031,1,0,PG-13,100000000,11000,37000
0,561,18000,130127620,0,20354,1,1,R,100000000,782,0
0,1000,40000,97030725,0,64599,1,1,R,100000000,23000,0
20,36,144,130174897,0,309,1,1,G,99000000,42,33000
212,810,1000,11000000,1,3611,1,1,PG-13,98000000,903,1000
208,591,12000,202007640,1,15972,1,1,PG-13,98000000,3000,0
719,423,833,73209340,1,2356,1,1,R,95000000,624,0
165,475,577,102678089,0,2321,1,1,R,95000000,501,885
116,329,8000,86897182,0,9271,1,1,R,95000000,331,18000
101,3000,18000,65653758,1,33154,1,1,PG-13,95000000,11000,0
44,766,12000,17176900,1,17098,1,1,PG-13,95000000,3000,16000
20,916,22000,161317423,0,25354,1,1,PG,95000000,1000,14000
10,442,2000,50802661,0,3372,1,1,PG,95000000,919,0
0,502,2000,201148159,0,4671,1,1,PG,95000000,520,56000
0,502,2000,201148159,0,4671,1,1,PG,95000000,520,56000
0,1000,8000,88761720,0,14024,1,0,PG,95000000,3000,9000
611,28,23000,9213,0,23240,0,0,R,94000000,196,13000
475,799,1000,380838870,0,5641,1,1,G,94000000,939,11000
0,416,5000,377019252,1,6434,1,1,PG-13,94000000,857,16000
0,857,16000,340478898,1,23052,1,1,PG-13,94000000,5000,10000
394,527,693,181166115,1,2574,1,1,PG-13,93000000,595,0
81,779,11000,176740650,1,13118,1,1,PG-13,93000000,1000,47000
0,857,16000,313837577,1,22342,1,0,PG-13,93000000,5000,21000
0,10000,14000,63540020,1,39319,1,0,PG-13,93000000,13000,18000
12000,307,11000,26871,1,12499,1,0,R,92000000,577,0
663,55,1000,261437578,1,1901,1,1,PG,92000000,723,0
368,466,13000,125305545,1,15419,1,1,PG-13,92000000,1000,0
212,476,13000,67344392,1,15481,1,1,R,92000000,787,66000
165,13000,26000,85017401,1,57881,1,1,R,92000000,13000,108000
101,848,22000,241688385,1,26239,1,1,PG-13,92000000,946,0
0,918,21000,110416702,1,23484,1,1,R,92000000,1000,0
0,557,2000,108638745,0,4270,1,1,R,92000000,820,10000
21000,585,18000,102515793,0,20388,1,1,R,90000000,1000,54000
17000,1000,29000,132373442,0,45648,1,1,R,90000000,13000,29000
16000,310,23000,33574332,0,24468,1,1,R,90000000,638,0
12000,619,10000,111544445,1,11951,1,1,R,90000000,660,0
487,967,15000,245823397,0,21275,1,1,G,90000000,1000,0
420,141,191,226138454,1,664,1,1,PG-13,90000000,165,0
385,11000,26000,39292022,1,52610,1,1,PG-13,90000000,13000,56000
323,489,13000,100012500,1,14274,1,1,R,90000000,559,0
221,503,11000,100018837,1,13446,1,1,PG-13,90000000,600,0
209,886,11000,64685359,1,23031,1,1,PG-13,90000000,11000,15000
188,602,10000,250147615,0,12998,1,1,PG-13,90000000,826,0
107,350,11000,143618384,0,12071,1,1,G,90000000,560,19000
107,117,835,196573705,1,1258,1,1,PG,90000000,256,0
102,551,12000,44606335,0,23950,1,1,PG-13,90000000,11000,10000
96,554,887,190562,1,2728,1,0,PG,90000000,886,788
87,918,8000,68558662,0,10882,1,1,PG,90000000,956,28000
81,612,3000,47474112,1,5062,1,1,PG-13,90000000,643,2000
70,330,770,71148699,0,1614,1,1,PG,90000000,419,0
57,3000,12000,101643008,1,29069,1,1,PG-13,90000000,11000,0
50,441,691,75817994,0,2622,1,1,PG,90000000,569,988
42,612,14000,27356090,1,16922,1,1,PG-13,90000000,788,21000
31,372,9000,50628009,1,10731,1,1,PG,90000000,496,0
23,591,752,6712451,0,3133,1,0,R,90000000,631,53
